PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
908,Jaelyn Brown,CON,G,10,13.1,3.7,1.2,0.1,0.5,0.2,0.8,37.8,50.0,0.5,0.4,0.8,1.8,44.4,1.4,3.7,0.1,0.2
1035,Mamignan Toure,CON,F,18,8.2,2.0,0.4,0.5,0.4,0.0,0.4,35.9,0.0,0.4,0.2,0.2,1.2,36.4,0.8,2.2,0.0,0.0
1018,Liatu King,LAS,F,12,10.0,3.0,2.1,0.3,0.2,0.0,0.1,50.0,73.3,0.9,0.8,1.3,0.5,16.7,1.0,2.0,0.9,1.3
995,Anastasiia Olairi Kosu,MIN,F,21,3.8,1.7,0.7,0.2,0.0,0.2,0.0,44.8,60.0,0.3,0.5,0.2,0.1,0.0,0.6,1.4,0.4,0.7
836,Chloe Bibby,IND,F,9,9.8,3.9,1.2,0.4,0.6,0.1,1.0,35.7,85.7,0.8,0.2,1.0,2.6,39.1,1.1,3.1,0.7,0.8
494,Mercedes Russell,LAS,C,20,8.2,1.7,1.2,0.6,0.3,0.2,0.0,44.4,71.4,0.4,0.5,0.7,0.0,0.0,0.6,1.4,0.5,0.7
836,Chloe Bibby,GSV,F,5,13.2,6.4,2.8,0.6,0.6,0.0,1.6,40.7,100.0,0.0,0.6,2.2,3.8,42.1,2.2,5.4,0.4,0.4
583,Brianna Turner,IND,F,27,8.6,1.1,1.9,0.6,0.1,0.3,0.0,40.6,50.0,0.3,0.7,1.2,0.0,0.0,0.5,1.2,0.1,0.3
632,Shey Peddy,LAS,G,6,23.0,5.0,3.0,2.7,0.3,0.0,0.8,41.7,83.3,0.7,1.0,2.0,2.2,38.5,1.7,4.0,0.8,1.0
923,Alissa Pili,MIN,F,14,5.9,1.9,1.2,0.2,0.1,0.0,0.3,45.5,75.0,0.5,0.3,0.9,0.8,36.4,0.7,1.6,0.2,0.3
975,Kariata Diaby,CON,C,13,7.9,1.9,1.0,0.4,0.5,0.1,0.0,50.0,78.6,0.9,0.2,0.8,0.0,0.0,0.5,1.1,0.8,1.1
996,Rayah Marshall,CON,F,15,6.0,1.7,1.7,0.3,0.1,0.2,0.0,34.6,58.3,0.5,0.5,1.3,0.1,0.0,0.6,1.7,0.5,0.8
